"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/xWkCz""]
[Themes ""advantage deflection endgame short""]
[FEN ""4r1k1/5p2/1p4p1/p6p/P5qP/6P1/1P1Q1P2/3R2K1 w - - 1 25""]
[SetUp ""1""]

25. Qd4 Re1+ 26. Rxe1 Qxd4 *",advantage deflection endgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/07fq1""]
[Themes ""crushing deflection endgame fork veryLong""]
[FEN ""8/2pR2pk/6q1/5p2/8/2P2Q1P/r5P1/7K w - - 0 38""]
[SetUp ""1""]

38. Rxc7 Ra1+ 39. Kh2 Qd6+ 40. Qg3 Rh1+ 41. Kxh1 Qxg3 *",crushing deflection endgame fork veryLong
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/4sVwK""]
[Themes ""advantage deflection endgame short skewer""]
[FEN ""7R/1p4p1/2pn1k2/1p1p4/3PpPr1/PPP1P1N1/5K2/8 b - - 2 38""]
[SetUp ""1""]

38... Nf5 39. Rf8+ Ke7 40. Rxf5 *",advantage deflection endgame short skewer
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/AispE""]
[Themes ""advancedPawn advantage deflection endgame promotion rookEndgame short""]
[FEN ""8/1R2P2p/4r3/8/6K1/2k3P1/1p5P/8 w - - 2 51""]
[SetUp ""1""]

51. Kf5 Rxe7 52. Rxe7 b1=Q+ *",advancedPawn advantage deflection endgame promotion rookEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/OVNEx""]
[Themes ""crushing deflection endgame long""]
[FEN ""6k1/ppQ2pp1/4bb1p/P2p4/8/1q3N1P/2B2PP1/6K1 b - - 3 26""]
[SetUp ""1""]

26... Qb4 27. Qb8+ Qf8 28. Bh7+ Kxh7 29. Qxf8 *",crushing deflection endgame long
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/iW5Bf""]
[Themes ""crushing deflection endgame knightEndgame short""]
[FEN ""8/1p6/p4n2/3k1P1p/PPpN3P/6P1/3K4/8 w - - 3 42""]
[SetUp ""1""]

42. Ke3 Ng4+ 43. Kf4 Kxd4 *",crushing deflection endgame knightEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/sdbXJ""]
[Themes ""crushing deflection endgame rookEndgame short""]
[FEN ""8/6pp/4pk2/4rp2/3K2P1/8/5R1P/8 b - - 0 43""]
[SetUp ""1""]

43... g6 44. g5+ Kxg5 45. Kxe5 *",crushing deflection endgame rookEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/edyT9""]
[Themes ""attraction crushing deflection endgame hangingPiece veryLong""]
[FEN ""2Q5/p4pk1/6p1/3pR3/5PPr/1P6/2B2RP1/q5K1 w - - 2 33""]
[SetUp ""1""]

33. Bb1 Qxb1+ 34. Rf1 Rh1+ 35. Kxh1 Qxf1+ 36. Kh2 Qxf4+ *",attraction crushing deflection endgame hangingPiece veryLong
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/kgDMS""]
[Themes ""deflection endgame long mate mateIn3 sacrifice""]
[FEN ""6k1/pp2Rp1p/3p1npQ/3q2N1/8/P6P/1P3PPK/2r5 b - - 2 24""]
[SetUp ""1""]

24... Qd1 25. Re8+ Nxe8 26. Qxh7+ Kf8 27. Qxf7# *",deflection endgame long mate mateIn3 sacrifice
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/bBgWz""]
[Themes ""crushing deflection long middlegame""]
[FEN ""r5k1/1p3ppn/p1p1r3/5N2/3PP1Q1/2q4P/2P3P1/5R1K b - - 0 29""]
[SetUp ""1""]

29... g6 30. Nh6+ Kh8 31. Nxf7+ Kg7 32. Qxe6 *",crushing deflection long middlegame
