"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/UjZa9""]
[Themes ""endgame long mate mateIn3 sacrifice""]
[FEN ""6rk/p6p/1p2ppr1/4Q3/3PRP2/q5P1/7P/4R1K1 w - - 0 27""]
[SetUp ""1""]

27. Qxe6 Rxg3+ 28. hxg3 Qxg3+ 29. Kf1 Qg2# *",endgame long mate mateIn3 sacrifice
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/cYtZg""]
[Themes ""crushing kingsideAttack long middlegame""]
[FEN ""r3r1k1/pp3p1p/b2B4/2pP4/4P3/nPQ5/P3qPPP/2R2RK1 b - - 0 23""]
[SetUp ""1""]

23... Nb5 24. Qg3+ Kh8 25. Be5+ Rxe5 26. Qxe5+ *",crushing kingsideAttack long middlegame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/xheI0""]
[Themes ""crushing fork long middlegame""]
[FEN ""2k4r/1bpq4/ppn2R1r/3pPQ1P/3P4/P1N5/1PP5/2K4R b - - 3 25""]
[SetUp ""1""]

25... Nxd4 26. Rf8+ Rxf8 27. Qxf8+ Qd8 28. Qxh6 *",crushing fork long middlegame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/2aZBZ""]
[Themes ""endgame long mate mateIn3""]
[FEN ""2R5/5rkp/1p3p2/6pP/3pP3/p2P3Q/6PK/3q4 b - - 3 38""]
[SetUp ""1""]

38... g4 39. h6+ Kg6 40. Rg8+ Rg7 41. Rxg7# *",endgame long mate mateIn3
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/TDlwv""]
[Themes ""crushing endgame long""]
[FEN ""3rr2k/7p/2Q3p1/1p1Rq3/4P3/P6P/1P4R1/7K b - - 0 36""]
[SetUp ""1""]

36... Qxe4 37. Qf6+ Kg8 38. Rxd8 Rxd8 39. Qxd8+ *",crushing endgame long
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/lbrNX""]
[Themes ""attraction long mate mateIn3 middlegame sacrifice""]
[FEN ""r6k/ppp3pp/4Q3/1b6/3P4/qPP3P1/P3N2r/1K1R3R b - - 2 23""]
[SetUp ""1""]

23... Rxe2 24. Rxh7+ Kxh7 25. Rh1+ Rh2 26. Rxh2# *",attraction long mate mateIn3 middlegame sacrifice
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/PVX6I""]
[Themes ""crushing fork long middlegame""]
[FEN ""3r1r2/1p4k1/2pN1pp1/p1n1P3/5PK1/1P1B1N2/P1P3P1/7R w - - 0 31""]
[SetUp ""1""]

31. Ne4 f5+ 32. Kg3 fxe4 33. Ng5 exd3 *",crushing fork long middlegame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/r5KA3""]
[Themes ""advantage attraction endgame fork long""]
[FEN ""8/p5n1/1p2pkP1/3pN2n/P4P1R/1Pr2K2/4R3/8 w - - 5 48""]
[SetUp ""1""]

48. Re3 Rxe3+ 49. Kxe3 Nf5+ 50. Kd2 Nxh4 *",advantage attraction endgame fork long
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/QZmWx""]
[Themes ""attraction crushing endgame fork long sacrifice""]
[FEN ""8/pp2kp2/4pb2/7R/2Pr4/1P3P2/P1KB4/8 w - - 1 35""]
[SetUp ""1""]

35. Rh6 Rxd2+ 36. Kxd2 Bg5+ 37. Kc3 Bxh6 *",attraction crushing endgame fork long sacrifice
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/TIq0N""]
[Themes ""advancedPawn crushing endgame long rookEndgame""]
[FEN ""8/8/2k5/2P5/p2PR3/r7/4K3/8 w - - 0 56""]
[SetUp ""1""]

56. Re3 Rxe3+ 57. Kxe3 a3 58. Kd3 a2 *",advancedPawn crushing endgame long rookEndgame
