"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/MfxII""]
[Themes ""crushing fork master middlegame short""]
[FEN ""r3r1k1/p1p3pp/3q4/3p1p2/Q2PN3/4B3/P3nPPP/R4R1K b - - 0 19""]
[SetUp ""1""]

19... dxe4 20. Qc4+ Kh8 21. Qxe2 *",crushing fork master middlegame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/juUns""]
[Themes ""advantage master middlegame short""]
[FEN ""r3r1k1/ppq2p1n/2p2p2/3b1P2/3P2Pp/1PPB4/P1Q1N1P1/4RRK1 w - - 1 20""]
[SetUp ""1""]

20. Nf4 Rxe1 21. Rxe1 Qxf4 *",advantage master middlegame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/lUF12""]
[Themes ""endgame master mate mateIn1 oneMove""]
[FEN ""r4b1r/1R1k1p2/2N1pP1p/3q4/p1pQ4/8/5PPP/6K1 b - - 3 23""]
[SetUp ""1""]

23... Kxc6 24. Qb6# *",endgame master mate mateIn1 oneMove
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/d1tmG""]
[Themes ""crushing endgame master short""]
[FEN ""2R2b2/5pkp/p5p1/1p6/1q1N4/1P2P2P/3r1PP1/2Q3K1 w - - 1 33""]
[SetUp ""1""]

33. Qc7 Rd1+ 34. Kh2 Bd6+ *",crushing endgame master short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/1qU8l""]
[Themes ""advantage endgame master short skewer""]
[FEN ""4r3/5p2/3kq3/p2p4/2p2Qp1/2P3P1/PPB2PPK/8 b - - 4 33""]
[SetUp ""1""]

33... Kc6 34. Ba4+ Kb7 35. Bxe8 *",advantage endgame master short skewer
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/rNJF1""]
[Themes ""master mate mateIn2 middlegame short""]
[FEN ""2r3rk/1b3p1Q/pp4p1/3pPN2/1Pq5/2P3R1/2P3PP/R5K1 b - - 0 23""]
[SetUp ""1""]

23... Kxh7 24. Rh3+ Qh4 25. Rxh4# *",master mate mateIn2 middlegame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/l34NZ""]
[Themes ""crushing endgame master short skewer""]
[FEN ""8/8/p4k1p/2N2p2/5P2/4p3/P3K1Pb/8 w - - 0 46""]
[SetUp ""1""]

46. Kxe3 Bg1+ 47. Kd3 Bxc5 *",crushing endgame master short skewer
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/vo2KO""]
[Themes ""crushing discoveredAttack endgame master short""]
[FEN ""3B4/R3prkp/3p2p1/4p3/2K3P1/8/7P/8 w - - 4 42""]
[SetUp ""1""]

42. Kd5 e6+ 43. Kxd6 Rxa7 *",crushing discoveredAttack endgame master short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/t3qVT""]
[Themes ""advantage endgame fork master short""]
[FEN ""3r1r1k/6pp/3N4/1p2PP2/1Pp2n2/8/5P1P/2KRR3 w - - 1 34""]
[SetUp ""1""]

34. e6 Nd3+ 35. Rxd3 cxd3 *",advantage endgame fork master short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/lrjmb""]
[Themes ""crushing endgame master short""]
[FEN ""3r4/3r1k2/2p2bpp/1p2pp2/1B6/P2P2P1/4PPKP/1RR5 b - - 0 36""]
[SetUp ""1""]

36... Rc7 37. Ba5 Rcc8 38. Bxd8 *",crushing endgame master short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/Lxi86""]
[Themes ""crushing endgame master masterVsMaster short""]
[FEN ""4r3/pr3pkp/6p1/4N3/3n4/8/PP3PPP/3RK2R w K - 1 20""]
[SetUp ""1""]

20. O-O Ne2+ 21. Kh1 Rxe5 *",crushing endgame master masterVsMaster short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/ZyGrw""]
[Themes ""advantage fork master middlegame short""]
[FEN ""2r3k1/Q7/3pb1p1/3Nb1q1/p3P1P1/1P6/1PP5/1K3R2 b - - 0 29""]
[SetUp ""1""]

29... axb3 30. Ne7+ Qxe7 31. Qxe7 *",advantage fork master middlegame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/Wxfhf""]
[Themes ""crushing master middlegame pin short""]
[FEN ""rnb2rk1/pp4pp/2pbp3/q2pN3/2PPp3/4PPB1/PP4PP/R2QKB1R w KQ - 1 11""]
[SetUp ""1""]

11. Qd2 Bb4 12. Qxb4 Qxb4+ *",crushing master middlegame pin short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/u6p4J""]
[Themes ""crushing master middlegame short""]
[FEN ""r4rk1/5ppn/3p3Q/2pNq2P/1p2P3/p4P2/PPP5/2K2RR1 w - - 0 24""]
[SetUp ""1""]

24. Nf6+ Qxf6 25. Qxf6 Nxf6 *",crushing master middlegame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/conTx""]
[Themes ""master mate mateIn2 middlegame queensideAttack short""]
[FEN ""2br2k1/1pp4p/4p1pR/2b5/4Q3/1P1B1N2/3P1PP1/q1KR4 w - - 0 19""]
[SetUp ""1""]

19. Bb1 Ba3+ 20. Kc2 Qb2# *",master mate mateIn2 middlegame queensideAttack short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/676cr""]
[Themes ""crushing endgame fork master short""]
[FEN ""3b4/p4pkp/bp2n3/8/4N3/6P1/PPR1PP1P/6K1 w - - 2 23""]
[SetUp ""1""]

23. e3 Bd3 24. Rc8 Bxe4 *",crushing endgame fork master short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/qWM9V""]
[Themes ""kingsideAttack master mate mateIn2 middlegame sacrifice short""]
[FEN ""r1b2rk1/1pqpbpp1/4p1n1/p3n2Q/3pNB2/P2B4/1PP2PPP/R3R1K1 b - - 5 15""]
[SetUp ""1""]

15... Nxf4 16. Nf6+ Bxf6 17. Qh7# *",kingsideAttack master mate mateIn2 middlegame sacrifice short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/84QaM""]
[Themes ""crushing endgame fork master short""]
[FEN ""8/8/5B1p/Pk6/6PP/1p6/5n1K/8 w - - 1 48""]
[SetUp ""1""]

48. Kg3 Ne4+ 49. Kf4 Nxf6 *",crushing endgame fork master short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/m5zSI""]
[Themes ""endgame master mate mateIn2 short""]
[FEN ""8/1R3pk1/7p/4n1p1/8/3PP1PP/1R2nPK1/4r3 w - - 1 37""]
[SetUp ""1""]

37. d4 Rg1+ 38. Kh2 Nf3# *",endgame master mate mateIn2 short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/a4bK1""]
[Themes ""advantage discoveredAttack endgame master short""]
[FEN ""6k1/1b3ppp/1n2p3/1p2P3/2pP4/2P2P2/3B1KPP/rB2R3 b - - 0 27""]
[SetUp ""1""]

27... Nd5 28. Bxh7+ Kxh7 29. Rxa1 *",advantage discoveredAttack endgame master short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/QtOAH""]
[Themes ""crushing endgame master rookEndgame short""]
[FEN ""8/1p6/3k4/1P3R2/8/8/1P1K1p2/1r6 w - - 3 46""]
[SetUp ""1""]

46. Rxf2 Rxb2+ 47. Ke3 Rxf2 *",crushing endgame master rookEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/jchlC""]
[Themes ""master mate mateIn1 middlegame oneMove""]
[FEN ""r3rk2/p2R1ppQ/1p4p1/2p3N1/1n6/7P/PP2qPP1/2R3K1 b - - 5 27""]
[SetUp ""1""]

27... Qh5 28. Rxf7# *",master mate mateIn1 middlegame oneMove
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/rNVy8""]
[Themes ""kingsideAttack master mate mateIn1 middlegame oneMove""]
[FEN ""r2q1r1k/b1p2p1p/p1n4N/2n1pN2/1p2P3/2Pb2QP/PPB2PP1/R3K2R b KQ - 2 20""]
[SetUp ""1""]

20... Rg8 21. Nxf7# *",kingsideAttack master mate mateIn1 middlegame oneMove
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/MIrE1""]
[Themes ""crushing kingsideAttack master middlegame short""]
[FEN ""5r1k/p5bp/1pq3p1/2p2nN1/n1Q2B2/P1P3P1/7P/2N1R1K1 b - - 3 30""]
[SetUp ""1""]

30... Nb2 31. Nf7+ Rxf7 32. Qxf7 *",crushing kingsideAttack master middlegame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/AnDSY""]
[Themes ""advantage fork master middlegame short""]
[FEN ""r3r3/1p1q2kp/2p2pp1/p2n4/3N4/1P2P3/P3QPPP/R4RK1 w - - 0 18""]
[SetUp ""1""]

18. Rfd1 Nc3 19. Qe1 Nxd1 *",advantage fork master middlegame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/787PI""]
[Themes ""endgame hookMate master mate mateIn1 oneMove""]
[FEN ""8/4k2P/8/8/5p2/5Pn1/5KP1/r7 w - - 0 47""]
[SetUp ""1""]

47. h8=Q Rf1# *",endgame hookMate master mate mateIn1 oneMove
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/JICLn""]
[Themes ""crushing fork master middlegame short""]
[FEN ""4rbk1/p1R2ppp/b7/3B4/3p4/6P1/1r1N1P1P/R5K1 b - - 1 27""]
[SetUp ""1""]

27... Rxd2 28. Bxf7+ Kh8 29. Bxe8 *",crushing fork master middlegame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/dqZO7""]
[Themes ""crushing endgame fork master short""]
[FEN ""2k1b2R/1p3qp1/p7/4p3/1P6/P1P3B1/3Q3K/5r2 w - - 7 40""]
[SetUp ""1""]

40. Bxe5 Rf2+ 41. Qxf2 Qxf2+ *",crushing endgame fork master short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/TaMLA""]
[Themes ""crushing discoveredAttack endgame master short""]
[FEN ""8/2r1ppkp/3p2p1/2qP1PQ1/6P1/p1p4P/2R4K/8 b - - 2 37""]
[SetUp ""1""]

37... Qxd5 38. f6+ exf6 39. Qxd5 *",crushing discoveredAttack endgame master short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/M8IZb""]
[Themes ""bishopEndgame crushing endgame master short skewer""]
[FEN ""8/8/7p/p7/b3kp1P/2P5/4BK2/8 b - - 1 52""]
[SetUp ""1""]

52... Bc6 53. Bf3+ Kd3 54. Bxc6 *",bishopEndgame crushing endgame master short skewer
