"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/igMfX""]
[Themes ""advancedPawn endgame exposedKing fork long mate mateIn3 promotion queenRookEndgame""]
[FEN ""5rk1/6r1/1p1R4/1Pp5/p1P5/P5pq/4QpP1/5R1K w - - 0 41""]
[SetUp ""1""]

41. gxh3 g2+ 42. Kh2 g1=Q+ 43. Rxg1 fxg1=Q# *",advancedPawn endgame exposedKing fork long mate mateIn3 promotion queenRookEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/AispE""]
[Themes ""advancedPawn advantage deflection endgame promotion rookEndgame short""]
[FEN ""8/1R2P2p/4r3/8/6K1/2k3P1/1p5P/8 w - - 2 51""]
[SetUp ""1""]

51. Kf5 Rxe7 52. Rxe7 b1=Q+ *",advancedPawn advantage deflection endgame promotion rookEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/hzmVZ""]
[Themes ""advancedPawn crushing endgame long promotion rookEndgame""]
[FEN ""8/8/4kp2/1R6/2p1K1P1/8/3p4/8 w - - 0 51""]
[SetUp ""1""]

51. Rd5 c3 52. Rd4 c2 53. Rxd2 c1=Q *",advancedPawn crushing endgame long promotion rookEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/x95VK""]
[Themes ""advancedPawn crushing endgame long promotion""]
[FEN ""8/2k4b/4p3/6PP/1p6/5P2/p1pK4/2N5 w - - 0 46""]
[SetUp ""1""]

46. Nxa2 b3 47. Nb4 b2 48. Nxc2 b1=Q *",advancedPawn crushing endgame long promotion
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/oY8UY""]
[Themes ""advancedPawn mate mateIn2 middlegame promotion short""]
[FEN ""6rk/p5rb/5pBQ/5P2/8/P2P2R1/1P2pqPP/4R2K w - - 3 31""]
[SetUp ""1""]

31. Qd2 Qf1+ 32. Rxf1 exf1=Q# *",advancedPawn mate mateIn2 middlegame promotion short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/ptHxZ""]
[Themes ""advancedPawn crushing endgame promotion veryLong""]
[FEN ""8/1Pq4p/8/6p1/7k/5p2/5P2/1R3K2 b - - 2 49""]
[SetUp ""1""]

49... Kh3 50. b8=Q Qc4+ 51. Kg1 Qg4+ 52. Qg3+ Qxg3+ 53. fxg3 *",advancedPawn crushing endgame promotion veryLong
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/QRFOW""]
[Themes ""advancedPawn crushing deflection endgame knightEndgame promotion short""]
[FEN ""8/8/5k2/5P2/6PP/3n1K2/p7/N7 w - - 9 49""]
[SetUp ""1""]

49. Nc2 Ne1+ 50. Nxe1 a1=Q *",advancedPawn crushing deflection endgame knightEndgame promotion short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/d8TTG""]
[Themes ""advancedPawn crushing deflection discoveredAttack endgame exposedKing promotion veryLong""]
[FEN ""8/pp4k1/2p3P1/5QKp/8/P5P1/6P1/4r2q b - - 1 34""]
[SetUp ""1""]

34... Qf1 35. Qd7+ Kg8 36. Qh7+ Kf8 37. g7+ Ke7 38. g8=Q+ *",advancedPawn crushing deflection discoveredAttack endgame exposedKing promotion veryLong
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/nLQPF""]
[Themes ""advancedPawn crushing endgame long promotion rookEndgame""]
[FEN ""8/3KP3/3R4/8/2p5/2k5/8/5r2 b - - 0 69""]
[SetUp ""1""]

69... Re1 70. Re6 Rxe6 71. Kxe6 Kd2 72. e8=Q *",advancedPawn crushing endgame long promotion rookEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/3hbsw""]
[Themes ""advancedPawn crushing endgame exposedKing long promotion""]
[FEN ""6k1/8/5PP1/4B3/2p1P3/8/p1r5/6K1 b - - 0 48""]
[SetUp ""1""]

48... c3 49. f7+ Kf8 50. Bd6+ Kg7 51. f8=Q+ *",advancedPawn crushing endgame exposedKing long promotion
