"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/oXr6e""]
[Themes ""crushing endgame queenEndgame skewer veryLong""]
[FEN ""8/7k/8/5pp1/5P2/6PK/3q4/5Q2 w - - 0 36""]
[SetUp ""1""]

36. Qb5 g4+ 37. Kh4 Qh2+ 38. Kg5 Qh6+ 39. Kxf5 Qh5+ 40. Ke4 Qxb5 *",crushing endgame queenEndgame skewer veryLong
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/3thII""]
[Themes ""crushing endgame queenEndgame short skewer""]
[FEN ""8/pp2PQpp/3k4/3P4/8/3q1K1P/P5P1/8 w - - 5 39""]
[SetUp ""1""]

39. Kf4 Qf1+ 40. Ke3 Qxf7 *",crushing endgame queenEndgame short skewer
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/jYkgq""]
[Themes ""crushing defensiveMove endgame queenEndgame short""]
[FEN ""8/1p4k1/p1q2p2/6p1/1P1p2P1/P3PQ2/5PK1/8 b - - 1 35""]
[SetUp ""1""]

35... d3 36. Qxc6 bxc6 37. Kf1 *",crushing defensiveMove endgame queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/nWF3S""]
[Themes ""crushing endgame queenEndgame short skewer""]
[FEN ""8/8/8/8/p7/Q1k5/6PK/3q4 b - - 12 67""]
[SetUp ""1""]

67... Kd4 68. Qd6+ Kc3 69. Qxd1 *",crushing endgame queenEndgame short skewer
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/9EZkW""]
[Themes ""endgame mate mateIn2 queenEndgame short""]
[FEN ""8/p6p/2p1Q1pk/8/6K1/6P1/PP3q1P/8 w - - 0 37""]
[SetUp ""1""]

37. Qxc6 Qf5+ 38. Kh4 Qh5# *",endgame mate mateIn2 queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/BhWKv""]
[Themes ""crushing endgame long queenEndgame""]
[FEN ""6k1/5p2/7p/P2q2p1/2p5/2Q4P/5PP1/6K1 b - - 0 34""]
[SetUp ""1""]

34... Qd3 35. Qxd3 cxd3 36. Kf1 d2 37. Ke2 *",crushing endgame long queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/nX163""]
[Themes ""advancedPawn crushing endgame queenEndgame short""]
[FEN ""8/5p2/4q1k1/Q7/8/1p3P2/4PK1P/8 w - - 0 43""]
[SetUp ""1""]

43. Qc3 Qb6+ 44. e3 b2 *",advancedPawn crushing endgame queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/w5TMp""]
[Themes ""endgame mate mateIn2 queenEndgame short""]
[FEN ""8/2Q5/p7/1p3p2/5k1P/8/Pq3PK1/8 b - - 2 43""]
[SetUp ""1""]

43... Kg4 44. Qg3+ Kh5 45. Qg5# *",endgame mate mateIn2 queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/tJxWF""]
[Themes ""endgame mate mateIn2 queenEndgame short""]
[FEN ""6k1/1q6/5pP1/1p3P1K/p5P1/P1P5/1P5Q/8 w - - 2 59""]
[SetUp ""1""]

59. Kh6 Qg7+ 60. Kh5 Qh8# *",endgame mate mateIn2 queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/2XTX1""]
[Themes ""advancedPawn advantage endgame promotion queenEndgame short""]
[FEN ""8/5k2/2QP4/8/8/1q2P2P/p4PPK/8 w - - 0 61""]
[SetUp ""1""]

61. d7 Qb8+ 62. f4 a1=Q *",advancedPawn advantage endgame promotion queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/BO5P5""]
[Themes ""endgame mate mateIn2 queenEndgame short""]
[FEN ""5Q2/2p5/6pk/p2p1p2/3p1P2/1P2P3/1qPK2P1/8 b - - 2 33""]
[SetUp ""1""]

33... Kh5 34. Qh8+ Kg4 35. Qh3# *",endgame mate mateIn2 queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/jjRjy""]
[Themes ""endgame mate mateIn2 queenEndgame short""]
[FEN ""7k/5Qpp/1p1P4/8/p4P2/q5PK/8/8 b - - 0 46""]
[SetUp ""1""]

46... Qxd6 47. Qe8+ Qf8 48. Qxf8# *",endgame mate mateIn2 queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/GwzDd""]
[Themes ""dovetailMate endgame mate mateIn1 oneMove queenEndgame""]
[FEN ""6Q1/8/5pk1/1p2q3/p7/7P/6P1/7K b - - 1 54""]
[SetUp ""1""]

54... Kf5 55. Qg4# *",dovetailMate endgame mate mateIn1 oneMove queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/aTElr""]
[Themes ""crushing defensiveMove endgame long queenEndgame""]
[FEN ""8/8/1Q1K4/p7/k7/P1q5/8/8 w - - 0 55""]
[SetUp ""1""]

55. Qc6+ Qxc6+ 56. Kxc6 Kxa3 57. Kb5 a4 *",crushing defensiveMove endgame long queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/MTpCx""]
[Themes ""crushing defensiveMove endgame queenEndgame short""]
[FEN ""8/6k1/p6p/Pp6/8/4rqPP/3Q1P2/6K1 w - - 0 50""]
[SetUp ""1""]

50. Qxe3 Qxe3 51. fxe3 b4 *",crushing defensiveMove endgame queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/S4Llk""]
[Themes ""crushing endgame queenEndgame short skewer""]
[FEN ""8/4Q3/8/4kp2/1p6/5PKP/q7/8 b - - 1 78""]
[SetUp ""1""]

78... Kd5 79. Qf7+ Kd4 80. Qxa2 *",crushing endgame queenEndgame short skewer
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/8iJly""]
[Themes ""endgame mate mateIn1 oneMove queenEndgame""]
[FEN ""8/6pk/1Q5p/p2p4/P2P4/2q1P3/6PP/6K1 w - - 0 29""]
[SetUp ""1""]

29. Qe6 Qe1# *",endgame mate mateIn1 oneMove queenEndgame
