"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/MBrcc""]
[Themes ""advantage middlegame quietMove veryLong""]
[FEN ""1r4k1/p4pp1/3R4/2p2r2/2N5/1P2P1Pq/P3QP2/5RK1 w - - 1 29""]
[SetUp ""1""]

29. Qd3 Rh5 30. Rd8+ Rxd8 31. Qxd8+ Kh7 32. Qh4 Rxh4 *",advantage middlegame quietMove veryLong
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/oG1eE""]
[Themes ""advancedPawn advantage endgame long quietMove rookEndgame""]
[FEN ""8/4k3/4Pp2/6p1/8/1Pp5/2K4p/4R3 w - - 1 42""]
[SetUp ""1""]

42. b4 g4 43. b5 g3 44. b6 g2 *",advancedPawn advantage endgame long quietMove rookEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/gLEsa""]
[Themes ""crushing defensiveMove endgame hangingPiece quietMove veryLong""]
[FEN ""8/8/7k/5N2/3q4/1p6/4K1P1/8 b - - 0 67""]
[SetUp ""1""]

67... Kg5 68. Nxd4 b2 69. Nf3+ Kf4 70. Nd2 Kg3 71. Kf1 *",crushing defensiveMove endgame hangingPiece quietMove veryLong
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/7RfUW""]
[Themes ""crushing endgame pawnEndgame quietMove veryLong""]
[FEN ""8/5Kpp/8/8/8/8/6kP/8 w - - 1 57""]
[SetUp ""1""]

57. Kxg7 h5 58. Kh6 h4 59. Kh5 h3 60. Kg4 Kxh2 61. Kf3 Kg1 *",crushing endgame pawnEndgame quietMove veryLong
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/qIJ5N""]
[Themes ""advantage long middlegame quietMove""]
[FEN ""r4rk1/p1p3pp/1p2q3/3b4/4p3/2P1P2P/P1QB1PP1/2R2RK1 b - - 3 19""]
[SetUp ""1""]

19... Bxa2 20. c4 Bxc4 21. Qxc4 Qxc4 22. Rxc4 *",advantage long middlegame quietMove
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/FDzxF""]
[Themes ""crushing endgame pawnEndgame quietMove short""]
[FEN ""8/7p/8/1K1p2p1/1p4P1/1P5P/P1k5/8 w - - 0 49""]
[SetUp ""1""]

49. Kxb4 d4 50. Kc4 d3 *",crushing endgame pawnEndgame quietMove short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/elvyH""]
[Themes ""crushing endgame pawnEndgame quietMove short""]
[FEN ""8/8/2p5/8/PP3k2/7p/5Kp1/8 b - - 0 62""]
[SetUp ""1""]

62... Ke4 63. a5 h2 64. Kxg2 *",crushing endgame pawnEndgame quietMove short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/PqKoD""]
[Themes ""advancedPawn crushing endgame pawnEndgame quietMove veryLong zugzwang""]
[FEN ""8/4k3/1p6/4pP1p/2P4P/4K3/8/8 w - - 1 46""]
[SetUp ""1""]

46. Ke4 Kf6 47. Kd5 Kxf5 48. Kc6 e4 49. Kxb6 e3 50. c5 e2 *",advancedPawn crushing endgame pawnEndgame quietMove veryLong zugzwang
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/oJ4HG""]
[Themes ""advancedPawn crushing endgame quietMove short""]
[FEN ""1r6/R4kpp/1P1np3/3p4/P2P4/3K3P/8/8 b - - 2 37""]
[SetUp ""1""]

37... Rb7 38. a5 Rxa7 39. bxa7 *",advancedPawn crushing endgame quietMove short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/17CM1""]
[Themes ""crushing defensiveMove endgame long quietMove rookEndgame""]
[FEN ""8/8/1pr2p2/1R3kpp/4p3/2P1K1P1/P6P/8 b - - 1 36""]
[SetUp ""1""]

36... Rc5 37. Rxc5+ bxc5 38. a4 Ke5 39. a5 *",crushing defensiveMove endgame long quietMove rookEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/5I0pr""]
[Themes ""advancedPawn bishopEndgame crushing defensiveMove endgame quietMove veryLong""]
[FEN ""8/2p5/3p2B1/p2Pp3/P1P4p/5k1K/8/8 w - - 0 43""]
[SetUp ""1""]

43. Kxh4 e4 44. Kg5 e3 45. Bh5+ Kf2 46. Kf5 e2 *",advancedPawn bishopEndgame crushing defensiveMove endgame quietMove veryLong
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/MOZUE""]
[Themes ""crushing endgame quietMove short""]
[FEN ""8/8/5p2/1p1k4/3b4/5K2/3R4/8 w - - 2 60""]
[SetUp ""1""]

60. Kf4 b4 61. Rd3 Kc4 *",crushing endgame quietMove short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/a2jug""]
[Themes ""bishopEndgame crushing defensiveMove endgame long quietMove""]
[FEN ""6Bk/7P/p4p1P/4p1p1/4b3/8/P1P5/3K4 b - - 0 30""]
[SetUp ""1""]

30... Bxh7 31. Bxh7 Kxh7 32. c4 Kxh6 33. c5 *",bishopEndgame crushing defensiveMove endgame long quietMove
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/U7yRD""]
[Themes ""crushing endgame long quietMove""]
[FEN ""6k1/5p2/1p4p1/p1qnP1Bp/5P1P/P2Q2P1/1P6/6K1 w - - 3 37""]
[SetUp ""1""]

37. Kh2 Qf2+ 38. Kh1 Ne3 39. Qxe3 Qxe3 *",crushing endgame long quietMove
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/Okz9S""]
[Themes ""advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong""]
[FEN ""8/2p5/K7/2k5/P7/8/8/8 b - - 0 49""]
[SetUp ""1""]

49... c6 50. a5 Kb4 51. Kb6 c5 52. a6 c4 53. a7 c3 54. a8=Q *",advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/UTbAJ""]
[Themes ""advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong""]
[FEN ""8/K7/p3k3/5p1p/PP5P/8/8/8 w - - 0 53""]
[SetUp ""1""]

53. Kxa6 f4 54. b5 f3 55. Ka7 f2 56. b6 f1=Q *",advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/jCdBw""]
[Themes ""crushing endgame long quietMove""]
[FEN ""6R1/8/4pK2/3b1p2/4k3/8/8/8 w - - 2 58""]
[SetUp ""1""]

58. Rg1 f4 59. Kg5 f3 60. Re1+ Kd3 *",crushing endgame long quietMove
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/S9QmX""]
[Themes ""crushing endgame exposedKing long quietMove rookEndgame""]
[FEN ""1r5k/3P1R2/6p1/pp3p2/8/P7/5KP1/8 b - - 0 33""]
[SetUp ""1""]

33... Rd8 34. Re7 Kg8 35. Re8+ Kf7 36. Rxd8 *",crushing endgame exposedKing long quietMove rookEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/V7XSJ""]
[Themes ""crushing endgame pawnEndgame quietMove short""]
[FEN ""8/5p2/8/4P2p/4kP2/3p2P1/8/4K3 b - - 1 50""]
[SetUp ""1""]

50... Ke3 51. f5 Kd4 52. e6 *",crushing endgame pawnEndgame quietMove short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/kbT2m""]
[Themes ""advantage long middlegame quietMove""]
[FEN ""r2qr3/2pb1kP1/3p1pp1/p2P4/1p1Q3R/5P2/PPP3P1/2KR4 b - - 0 22""]
[SetUp ""1""]

22... Kxg7 23. Rdh1 Rh8 24. Rxh8 Qxh8 25. Rxh8 *",advantage long middlegame quietMove
