"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/UjZa9""]
[Themes ""endgame long mate mateIn3 sacrifice""]
[FEN ""6rk/p6p/1p2ppr1/4Q3/3PRP2/q5P1/7P/4R1K1 w - - 0 27""]
[SetUp ""1""]

27. Qxe6 Rxg3+ 28. hxg3 Qxg3+ 29. Kf1 Qg2# *",endgame long mate mateIn3 sacrifice
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/lbrNX""]
[Themes ""attraction long mate mateIn3 middlegame sacrifice""]
[FEN ""r6k/ppp3pp/4Q3/1b6/3P4/qPP3P1/P3N2r/1K1R3R b - - 2 23""]
[SetUp ""1""]

23... Rxe2 24. Rxh7+ Kxh7 25. Rh1+ Rh2 26. Rxh2# *",attraction long mate mateIn3 middlegame sacrifice
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/QZmWx""]
[Themes ""attraction crushing endgame fork long sacrifice""]
[FEN ""8/pp2kp2/4pb2/7R/2Pr4/1P3P2/P1KB4/8 w - - 1 35""]
[SetUp ""1""]

35. Rh6 Rxd2+ 36. Kxd2 Bg5+ 37. Kc3 Bxh6 *",attraction crushing endgame fork long sacrifice
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/cMIYt""]
[Themes ""mate mateIn2 middlegame sacrifice short""]
[FEN ""4r1k1/4qppp/8/pp1BB3/3Q1P2/1P6/2r3PP/3R2K1 w - - 1 29""]
[SetUp ""1""]

29. Bd6 Qe1+ 30. Rxe1 Rxe1# *",mate mateIn2 middlegame sacrifice short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/MOU5h""]
[Themes ""discoveredAttack kingsideAttack long mate mateIn3 middlegame sacrifice""]
[FEN ""5rk1/ppb2rpp/2p5/8/4Nq2/1PQP1N1P/PBP3P1/5R1K w - - 7 24""]
[SetUp ""1""]

24. a4 Qh2+ 25. Nxh2 Rxf1+ 26. Nxf1 Rxf1# *",discoveredAttack kingsideAttack long mate mateIn3 middlegame sacrifice
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/ZtgGW""]
[Themes ""long mate mateIn3 middlegame sacrifice""]
[FEN ""r4k1r/3p1pp1/pbb5/1p3qNp/1P1p4/P5PP/2P1QP2/R1B1R1K1 b - - 2 20""]
[SetUp ""1""]

20... Qd5 21. Qe7+ Kg8 22. Qe8+ Rxe8 23. Rxe8# *",long mate mateIn3 middlegame sacrifice
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/9jmhI""]
[Themes ""attraction kingsideAttack mate mateIn2 middlegame sacrifice short""]
[FEN ""r1b3k1/pp3ppp/nbpp1q2/7r/4P3/1NN2P2/PPP1B1PP/R2Q1R1K w - - 0 14""]
[SetUp ""1""]

14. f4 Rxh2+ 15. Kxh2 Qh4# *",attraction kingsideAttack mate mateIn2 middlegame sacrifice short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/AzkOu""]
[Themes ""long mate mateIn3 middlegame sacrifice""]
[FEN ""3r2k1/6p1/p3p2p/1p2n2Q/4B1R1/2q5/3r2PP/5RK1 b - - 5 27""]
[SetUp ""1""]

27... Nxg4 28. Qf7+ Kh8 29. Qf8+ Rxf8 30. Rxf8# *",long mate mateIn3 middlegame sacrifice
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/qeP68""]
[Themes ""backRankMate exposedKing mate mateIn4 middlegame sacrifice veryLong""]
[FEN ""r1b2kr1/ppppn1p1/5P1p/3P3P/4P1q1/2Q5/PB4P1/nN3RK1 b - - 0 20""]
[SetUp ""1""]

20... gxf6 21. Qxf6+ Ke8 22. Qf7+ Kd8 23. Qf8+ Rxf8 24. Rxf8# *",backRankMate exposedKing mate mateIn4 middlegame sacrifice veryLong
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/cVZFj""]
[Themes ""crushing endgame fork long sacrifice""]
[FEN ""3r4/1p3k1p/p4p2/3pbNp1/6P1/PPPK1P1P/4R3/8 b - - 1 33""]
[SetUp ""1""]

33... Rc8 34. Rxe5 fxe5 35. Nd6+ Ke6 36. Nxc8 *",crushing endgame fork long sacrifice
